	mid	name	score	types	is_food	is_dish	is_beverage	is_ingredient
/m/021mn	/m/021mn	Cookie	560292.087463	Food	1	0	0	0
/m/01yvs	/m/01yvs	Coca-Cola	494353.71706099994	Beverage,Food,Ingredient	1	0	1	1
/m/09759	/m/09759	Rice	363960.858832	Food,Ingredient	1	0	0	1
/m/057z_	/m/057z_	Miso	283684.58496300003	Food,Ingredient	1	0	0	1
/m/06x4c	/m/06x4c	Sugar	263839.08289	Food,Ingredient	1	0	0	1
/m/05g0_z	/m/05g0_z	Table salt	233547.45706	Food,Ingredient	1	0	0	1
/m/09cpv	/m/09cpv	Cabernet Sauvignon	223047.43375700002	Food	1	0	0	0
/m/0f2b9	/m/0f2b9	Champagne	215849.214319	Beverage,Food,Ingredient	1	0	1	1
/m/0f9n3	/m/0f9n3	Ginger	215224.12506599998	Food,Ingredient	1	0	0	1
/m/03q7vc	/m/03q7vc	Acorn	205957.169925	Food,Ingredient	1	0	0	1
/m/0f2nzn	/m/0f2nzn	Guinness	203614.861087	Beverage,Food,Ingredient	1	0	1	1
/m/0f8sw	/m/0f8sw	Cherry	200624.09185899998	Food,Ingredient	1	0	0	1
/m/09cgp	/m/09cgp	Chardonnay	190009.874981	Food	1	0	0	0
/m/01c2z6	/m/01c2z6	Pinot Noir	185716.049317	Food	1	0	0	0
/m/0bdcn	/m/0bdcn	Cod	185648.97298	Food,Ingredient	1	0	0	1
/m/09k_b	/m/09k_b	Lemon	176811.046352	Food,Ingredient	1	0	0	1
/m/01sbt1	/m/01sbt1	Parmigiano-Reggiano	169890.19537200002	Food,Ingredient	1	0	0	1
/m/0h0xm	/m/0h0xm	Bacon	159997.97728	Food,Ingredient	1	0	0	1
/m/03vtj	/m/03vtj	Ice	153345.169925	Food,Ingredient	1	0	0	1
/m/04sr0	/m/04sr0	Merlot	153316.18968900002	Food	1	0	0	0
/m/09777	/m/09777	Salmon	149173.247928	Food,Ingredient	1	0	0	1
/m/0dj75	/m/0dj75	Onion	147376.27379	Food,Ingredient	1	0	0	1
/m/0dbrl	/m/0dbrl	Garlic	138486.67808800002	Food,Ingredient	1	0	0	1
/m/01hcps	/m/01hcps	Lamb and mutton	126839.299208	Food,Ingredient	1	0	0	1
/m/01yt8c	/m/01yt8c	Basil	126577.099183	Food,Ingredient	1	0	0	1
/m/0qjf5	/m/0qjf5	Diet Coke	118812.0	Beverage,Food	1	0	1	0
/m/01k18d	/m/01k18d	Oreo	111416.58496300002	Dish,Food	1	1	0	0
/m/020vl	/m/020vl	Chocolate	109316.767625	Food,Ingredient	1	0	0	1
/m/053wn	/m/053wn	Maize	108326.138524	Food,Ingredient	1	0	0	1
/m/03q2b	/m/03q2b	Ham	103485.661778	Food,Ingredient	1	0	0	1
/m/06cd7	/m/06cd7	Rosemary	100928.964544	Food,Ingredient	1	0	0	1
/m/01fp9	/m/01fp9	Bean	100733.714246	Food,Ingredient	1	0	0	1
/m/01l566	/m/01l566	Kool-Aid	100441.32192799999	Beverage,Food,Ingredient	1	0	1	1
/m/01jp3	/m/01jp3	Budweiser	99489.0	Beverage,Food	1	0	1	0
/m/03qmh	/m/03qmh	Honey	94066.1654566	Food,Ingredient	1	0	0	1
/m/0dxb5	/m/0dxb5	Berry	93981.87267489999	Food,Ingredient	1	0	0	1
/m/02vqfm	/m/02vqfm	Coffee	91414.2440665	Beverage,Food,Ingredient	1	0	1	1
/m/01925l	/m/01925l	Hypericum perforatum	89878.2288187	Food	1	0	0	0
/m/0k64b	/m/0k64b	Emu	87442.7813597	Food	1	0	0	0
/m/025r2	/m/025r2	Chianti	86653.0	Food	1	0	0	0
/m/07fbm7	/m/07fbm7	Strawberry	84453.0361736	Food,Ingredient	1	0	0	1
/m/0477n	/m/0477n	Jell-O	83692.0768156	Food,Ingredient	1	0	0	1
/m/0f0ch	/m/0f0ch	Cinnamon	82980.09027789999	Food,Ingredient	1	0	0	1
/m/05ml4	/m/05ml4	Olive oil	79218.6073303	Food,Ingredient	1	0	0	1
/m/09qck	/m/09qck	Banana	78749.2393013	Food,Ingredient	1	0	0	1
/m/07clx	/m/07clx	Tea (Beverage type)	78409.6211361	Food,Ingredient	1	0	0	1
/m/0fldg	/m/0fldg	Mango	78250.1241213	Food,Ingredient	1	0	0	1
/m/0djtd	/m/0djtd	Coconut	77485.1774779	Food,Ingredient	1	0	0	1
/m/076xc1	/m/076xc1	High-fructose corn syrup	76571.0	Food,Ingredient	1	0	0	1
/m/01mzvs	/m/01mzvs	Green tea	75669.0991834	Beverage,Food,Ingredient	1	0	1	1
/m/05mln	/m/05mln	Olive	73719.5362472	Food,Ingredient	1	0	0	1
/m/02xwb	/m/02xwb	Fruit (Ingredient)	73204.8313752	Food,Ingredient	1	0	0	1
/m/0dj6p	/m/0dj6p	Peach	69502.48830889999	Food,Ingredient	1	0	0	1
/m/0brjx	/m/0brjx	Nutella	69381.5849625	Food,Ingredient	1	0	0	1
/m/0fg0m	/m/0fg0m	Peanut	69058.04957999999	Food,Ingredient	1	0	0	1
/m/0fp5h	/m/0fp5h	Plum	68187.191599	Food,Ingredient	1	0	0	1
/m/0cdn1	/m/0cdn1	Hamburger	67432.1922928	Dish,Food	1	1	0	0
/m/01_r_	/m/01_r_	Cheddar cheese	66572.169925	Food,Ingredient	1	0	0	1
/m/074y7	/m/074y7	Scotch whisky	66151.469133	Beverage,Food,Ingredient	1	0	1	1
/m/0cxn2	/m/0cxn2	Ice cream	64865.94306419999	Dish,Food	1	1	0	0
/m/01rq37	/m/01rq37	Big Mac	64537.0	Food	1	0	0	0
/m/02r5_b	/m/02r5_b	Kale	63343.076815600005	Food,Ingredient	1	0	0	1
/m/03gq1	/m/03gq1	Herb (Ingredient)	61904.6724253	Food,Ingredient	1	0	0	1
/m/01cl1n	/m/01cl1n	Cabernet Franc	61722.154224800004	Food	1	0	0	0
/m/0mjqn	/m/0mjqn	Pie	61702.3219281	Dish,Food	1	1	0	0
/m/029x39	/m/029x39	Ginseng	61477.6617781	Food,Ingredient	1	0	0	1
/m/0hkxq	/m/0hkxq	Broccoli	61327.8150768	Food,Ingredient	1	0	0	1
/m/03m1ls	/m/03m1ls	Cheerios	60621.1459321	Food	1	0	0	0
/m/05s38	/m/05s38	Peppermint	59544.683452100006	Food,Ingredient	1	0	0	1
/m/0d7gy	/m/0d7gy	Eucalyptus	59456.8540709	Food,Ingredient	1	0	0	1
/m/02f217	/m/02f217	Chipotle	59105.1472049	Food,Ingredient	1	0	0	1
/m/0m4v	/m/0m4v	Almond	58759.997112599995	Food,Ingredient	1	0	0	1
/m/05m__92	/m/05m__92	Splenda	58714.169925	Food,Ingredient	1	0	0	1
/m/0663v	/m/0663v	Pizza	58591.7813597	Dish,Food	1	1	0	0
/m/01g7zj	/m/01g7zj	Mexican American	58307.4265268	Food	1	0	0	0
/m/06qrr	/m/06qrr	Soft drink	58067.7397806	Beverage,Food,Ingredient	1	0	1	1
/m/0ksgj	/m/0ksgj	Sodium chloride	57521.0502949	Food,Ingredient	1	0	0	1
/m/09728	/m/09728	Bread (Literature Subject)	56433.4918531	Food	1	0	0	0
/m/014j1m	/m/014j1m	Apple	56296.5617061	Food,Ingredient	1	0	0	1
/m/09qw8	/m/09qw8	Bamboo	56189.487054900004	Food	1	0	0	0
/m/01645p	/m/01645p	Avocado	55818.487054900004	Food,Ingredient	1	0	0	1
/m/01bg5t	/m/01bg5t	Coneflower	54197.1675896	Food,Ingredient	1	0	0	1
/m/029gy3	/m/029gy3	Snickers	52661.78135969999	Food,Ingredient	1	0	0	1
/m/015dmz	/m/015dmz	Marlin	51048.285185500004	Food,Ingredient	1	0	0	1
/m/09sy4	/m/09sy4	Tequila	50932.5919898	Beverage,Food,Ingredient	1	0	1	1
