#{'num_anchor_candidates': 3500, 'num_anchors': 550, 'seed': 42, 'sleep': 0.5, 'thresh_offline': 10}
#{'geo': 'IT', 'timeframe': '2019-11-28 2020-07-28'}
	base	lo	hi
/m/0mgkg	2615.179120563883	2347.7670113800937	2917.474178168123
/m/0glpjll	836.8573185804424	763.0242786985306	919.0043661229589
/m/019rl6	276.1629151315461	255.61313336400775	298.67641898996163
/m/010qmszp	93.89539114472566	88.18653101058267	100.05660036163717
/m/0b2334	32.86338690065398	31.306218508756846	34.519527124764814
/m/020jl4	15.117157974300833	14.557391606571935	15.706384841767992
/m/015zfk	6.802721088435375	6.6236131809902306	6.989341254586757
/m/01bp38	2.0408163265306123	2.0202020202020203	2.061855670103093
/m/04jm3v	1.0	1.0	1.0
/m/02zk4n	0.49000000000000005	0.485	0.495
